"","uniqueID","FID","Length","Treatment","Genus","Species","Activity","School.Individual","speed.FID","SpeedAvg","DFS.FID","DFSAvg"
"134","Shark 1LIZARD3_CAM1_RIG1",521.595,378.589,"Shark","Plectorhinchus","chrysotaenia","flight","Individual",1.322216981,0.0572651113333333,1239.558,997.739333333333
"135","Shark 1LIZARD3_CAM1_RIG1",521.595,378.589,"Shark","Pomacanthus","sexstriatus","flight","Individual",1.322216981,0.0572651113333333,1239.558,997.739333333333
"136","Shark 1LIZARD3_CAM2_RIG1",1996.874,399.138,"Shark","Pomacanthus","sexstriatus","flight","Individual",0.348912692,0.042548111,769.035,969.215666666667
"137","Shark 1LIZARD3_CAM3_RIG2",1178.849,271.971,"Shark","Plectorhinchus","chrysotaenia","hide","Individual",0.251672038,0.019814,143.23,132.3475
"138","Shark 1LIZARD3_CAM5_RIG3",1185.486,274.712,"Shark","Plectorhinchus","lineatus","flight","Individual",0.459763158,0,52.247,46.8733333333333
"139","Shark 1LIZARD3_CAM6_RIG2",802.378,248.028,"Shark","Plectorhinchus","chrysotaenia","no response","Individual",0,0,137.727,150.247666666667
"140","Shark 1LIZARD3_CAM6_RIG2",802.378,248.028,"Turtle","Plectorhinchus","chrysotaenia","no response","Individual",0,0,137.727,150.247666666667
"141","Shark 1LIZARD4_CAM2_RIG3",766.551,NA,"Shark","Plectropomus","sp","hide","Individual",NA,NA,256.505,341.491
"142","Shark 1LIZARD4_CAM4_RIG1",1695.648,520.609,"Shark","Plectropomus","sp","flight","Individual",0.63108037,0.1188103335,129.417,267.612333333333
"143","Shark 1LIZARD4_CAM5_RIG1",1210.33,402.95,"Shark","Plectorhinchus","chrysotaenia","flight","Individual",0.295712262,0.0397333333333333,224.296,375.326
"144","Shark 1LIZARD5_CAM1_RIG2",1011.275,390.817,"Shark","Plectropomus","sp","flight","Individual",0.2393696,0.00974255566666667,35.038,79.4343333333333
