"","unique_id","dfs.fid","dfs.prior.1","dfs.prior.2","dfs.prior.3","fid","length","speed.fid","speed.prior.1","speed.prior.2","speed.prior.3","Treatment","opcode","family","genus","species","activity","school_individual","DFSAvg","speed.priorAvg","scientific","site"
"73","Pipe 2LIZARD3_CAM2_RIG1",224.625,152.115,149.256,163.057,1016.137,376.39,NA,0,0,0,"Pipe","LIZARD3_CAM2_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",154.809333333333,0,"Plectorhinchus.chrysotaenia","3"
"74","Pipe 2LIZARD4_CAM2_RIG3",NA,NA,NA,NA,419.922,303.778,NA,0,0,0,"Pipe","LIZARD4_CAM2_RIG3","Serranidae","Plectropomus","spp","no response","Individual",NA,0,"Plectropomus.spp","4"
"75","Pipe 2LIZARD4_CAM4_RIG1",765.029,285.019,695.15,696.182,1484.876,410.864,0,0,0,0,"Pipe","LIZARD4_CAM4_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",558.783666666667,0,"Plectorhinchus.chrysotaenia","4"
"76","Pipe 3LIZARD2_CAM5_RIG3",NA,NA,NA,NA,1083.358,NA,0.404039473684211,0.0252793333333333,0.0163516666666667,0,"Pipe","LIZARD2_CAM5_RIG3","Lutjanidae","Lutjanus","carponotatus","flight","Individual",NA,0.013877,"Lutjanus.carponotatus","2"
"77","Pipe 3LIZARD3_CAM1_RIG1",571.542,NA,NA,NA,1188.836,NA,NA,0,0,0,"Pipe","LIZARD3_CAM1_RIG1","Haemulidae","Plectorhinchus","chrysotaenia","no response","Individual",NA,0,"Plectorhinchus.chrysotaenia","3"
"78","Shark 1LIZARD1_CAM4_RIG2",146.72,136.228,137.898,134.717,1069.708,114.044,0.0281062827225131,NA,0,0.01509,"Shark","LIZARD1_CAM4_RIG2","Lutjanidae","Lutjanus","spp","no response","Individual",136.281,0.007545,"Lutjanus.spp","1"
"79","Shark 1LIZARD1_CAM6_RIG1",211.654,101.586,129.353,137.258,2628.792,215.732,0.29946,0,0,0.29393,"Shark","LIZARD1_CAM6_RIG1","Lutjanidae","Lutjanus","fulvus","flight","Individual",122.732333333333,0.0979766666666667,"Lutjanus.fulvus","1"
"80","Shark 1LIZARD2_CAM2_RIG1",315.372,274.186,294.168,302.74,1927.475,239.945,0.238661224489796,0,0,0,"Shark","LIZARD2_CAM2_RIG1","Haemulidae","Diagramma","pictum","flight","Individual",290.364666666667,0,"Diagramma.pictum","2"
"81","Shark 1LIZARD2_CAM3_RIG1",NA,236.533,144.928,217.371,1327.082,248.576,0.268691732283465,0.141835666666667,0.130439333333333,0.0831566666666667,"Shark","LIZARD2_CAM3_RIG1","Haemulidae","Diagramma","pictum","C- turn","Individual",199.610666666667,0.118477222222222,"Diagramma.pictum","2"
"82","Shark 1LIZARD2_CAM4_RIG1",418.414,319.684,529.588,433.333,1891.677,290.038,0.2862975,0,0,0.067897,"Turtle","LIZARD2_CAM4_RIG1","Lutjanidae","Lutjanus","fulviflamma","C- turn","Individual",427.535,0.0226323333333333,"Lutjanus.fulviflamma","2"
"83","Shark 1LIZARD2_CAM5_RIG3",NA,325.675,NA,NA,1099.562,191.864,0.0658160465116279,0.077425,0.0675036666666667,0.097054,"Shark","LIZARD2_CAM5_RIG3","Haemulidae","Diagramma","pictum","C- turn","Individual",325.675,0.0806608888888889,"Diagramma.pictum","2"
"84","Shark 1LIZARD3_CAM1_RIG1",1239.558,777.987,1066.293,1148.938,521.595,378.589,1.32221698113208,0.0338766666666667,0,0.137918666666667,"Shark","LIZARD3_CAM1_RIG1","Pomacanthidae","Pomacanthus","sexstriatus","flight","Individual",997.739333333333,0.0572651111111111,"Pomacanthus.sexstriatus","3"
